Call Type,Hour of Entry Date and Time,Weekday of Entry Date and Time,Avg. Processing Minutes,Number of Records
Medical Incident,22,Wednesday,1.035453716,8772
Medical Incident,21,Wednesday,1.024043401,9539
Medical Incident,20,Wednesday,1.029499379,10194
Medical Incident,19,Wednesday,1.029618391,10875
Medical Incident,18,Wednesday,1.028013212,11303
Medical Incident,17,Wednesday,1.043750549,11377
Medical Incident,16,Wednesday,1.058104608,11841
Medical Incident,15,Wednesday,1.032097624,11896
Medical Incident,14,Wednesday,1.019754197,12232
Medical Incident,13,Wednesday,1.004237832,12471
Medical Incident,12,Wednesday,1.001798338,12354
Medical Incident,11,Wednesday,0.942515801,12130
Medical Incident,10,Wednesday,0.896235593,11684
Medical Incident,9,Wednesday,0.990773169,10679
Medical Incident,8,Wednesday,1.139398699,8914
Medical Incident,7,Wednesday,1.211214819,6964
Medical Incident,6,Wednesday,1.410194144,5271
Medical Incident,5,Wednesday,1.541506487,4162
Medical Incident,4,Wednesday,1.545546362,4109
Medical Incident,3,Wednesday,1.409177916,4667
Medical Incident,2,Wednesday,1.407364696,5463
Medical Incident,1,Wednesday,1.334826412,5972
Medical Incident,0,Wednesday,1.23502195,6682
Medical Incident,23,Thursday,1.150605658,8283
Medical Incident,22,Thursday,1.030631079,9048
Medical Incident,21,Thursday,1.011688596,9880
Medical Incident,20,Thursday,1.026612273,10234
Medical Incident,19,Thursday,1.014694844,10836
Medical Incident,18,Thursday,1.05649789,11060
Medical Incident,17,Thursday,1.056060476,11608
Medical Incident,16,Thursday,1.046114925,12089
Medical Incident,15,Thursday,1.026332752,12049
Medical Incident,14,Thursday,1.012235106,12332
Medical Incident,13,Thursday,1.007784015,12470
Medical Incident,12,Thursday,0.995925896,12424
Medical Incident,11,Thursday,0.895996847,12053
Medical Incident,10,Thursday,0.900475983,11485
Medical Incident,9,Thursday,1.010950639,10663
Medical Incident,8,Thursday,1.092568665,8823
Medical Incident,7,Thursday,1.216182075,7085
Medical Incident,6,Thursday,1.44661939,5147
Medical Incident,5,Thursday,1.476032213,4077
Medical Incident,4,Thursday,1.450421293,4233
Medical Incident,3,Thursday,1.413156963,4706
Medical Incident,2,Thursday,1.384249526,5803
Medical Incident,1,Thursday,1.281663709,6199
Medical Incident,0,Thursday,1.223182755,6796
Medical Incident,23,Friday,1.125392026,9757
Medical Incident,22,Friday,1.042367887,10351
Medical Incident,21,Friday,1.008455073,10747
Medical Incident,20,Friday,0.984390036,10946
Medical Incident,19,Friday,1.023481829,11291
Medical Incident,18,Friday,1.009718666,11327
Medical Incident,17,Friday,1.06419485,11975
Medical Incident,16,Friday,1.019424228,12366
Medical Incident,15,Friday,1.012863571,12446
Medical Incident,14,Friday,1.003647196,12617
Medical Incident,13,Friday,0.998019305,12605
Medical Incident,12,Friday,0.992936559,12442
Medical Incident,11,Friday,0.894672097,12153
Medical Incident,10,Friday,0.862926391,11697
Medical Incident,9,Friday,1.0072784,10364
Medical Incident,8,Friday,1.085299669,8654
Medical Incident,7,Friday,1.205593657,6853
Medical Incident,6,Friday,1.41422956,5088
Medical Incident,5,Friday,1.463385127,4312
Medical Incident,4,Friday,1.444252874,4408
Medical Incident,3,Friday,1.3471906,5007
Medical Incident,2,Friday,1.303240815,6197
Medical Incident,1,Friday,1.267044007,6802
Medical Incident,0,Friday,1.212457221,7305
Medical Incident,23,Saturday,1.130057233,10134
Medical Incident,22,Saturday,1.032771641,10682
Medical Incident,21,Saturday,1.000523291,11020
Medical Incident,20,Saturday,1.04457672,11466
Medical Incident,19,Saturday,1.010277329,11767
Medical Incident,18,Saturday,1.021581053,11914
Medical Incident,17,Saturday,1.022410807,11548
Medical Incident,16,Saturday,1.010836974,11673
Medical Incident,15,Saturday,1.004600248,11282
Medical Incident,14,Saturday,0.977181345,11457
Medical Incident,13,Saturday,1.00551571,11712
Medical Incident,12,Saturday,0.986057029,11351
Medical Incident,11,Saturday,0.871647422,10999
Medical Incident,10,Saturday,0.867601827,9927
Medical Incident,9,Saturday,0.968859502,8923
Medical Incident,8,Saturday,1.103382287,7490
Medical Incident,7,Saturday,1.24986736,6157
Medical Incident,6,Saturday,1.431897495,5177
Medical Incident,5,Saturday,1.428971326,4650
Medical Incident,4,Saturday,1.422995865,4998
Medical Incident,3,Saturday,1.380256054,6483
Medical Incident,2,Saturday,1.346652929,8978
Medical Incident,1,Saturday,1.247916667,9328
Medical Incident,0,Saturday,1.186034519,9502
Medical Incident,23,Sunday,1.149677525,8166
Medical Incident,22,Sunday,1.076814926,9353
Medical Incident,21,Sunday,1.052859622,10182
Medical Incident,20,Sunday,1.040523058,10770
Medical Incident,19,Sunday,1.031831327,11296
Medical Incident,18,Sunday,1.021932099,11183
Medical Incident,17,Sunday,1.021423731,11313
Medical Incident,16,Sunday,1.038649134,11331
Medical Incident,15,Sunday,1.011551423,11078
Medical Incident,14,Sunday,1.017876659,11102
Medical Incident,13,Sunday,0.996268148,11250
Medical Incident,12,Sunday,1.012191883,11170
Medical Incident,11,Sunday,0.927295782,10581
Medical Incident,10,Sunday,0.871136825,9679
Medical Incident,9,Sunday,0.992452228,8879
Medical Incident,8,Sunday,1.11699329,7501
Medical Incident,7,Sunday,1.296478376,6143
Medical Incident,6,Sunday,1.429221962,5124
Medical Incident,5,Sunday,1.479491984,4803
Medical Incident,4,Sunday,1.443372264,5223
Medical Incident,3,Sunday,1.377814474,6964
Medical Incident,2,Sunday,1.354974669,9277
Medical Incident,1,Sunday,1.244633668,10364
Medical Incident,0,Sunday,1.206445553,10025
